H.period,UD.period.t,H.t,UD.t.i,H.i,UD.i.e,H.e,UD.e.five,H.five,UD.five.Shift.r,H.Shift.r,UD.Shift.r.o,H.o,UD.o.a,H.a,UD.a.n,H.n,UD.n.l,H.l,UD.l.Return,H.Return
0.102,0.143,0.081,0.1,0.071,0.04,0.112,0.133,0.081,0.416,0.092,0.11,0.081,0.07,0.146,0.039,0.061,0.181,0.051,0.183,0.061
0.091,0.144,0.071,0.14,0.071,0.134,0.101,0.272,0.091,0.355,0.112,0.103,0.071,0.07,0.152,0.059,0.072,0.173,0.071,0.192,0.051
0.101,0.131,0.084,0.1,0.071,0.161,0.091,0.104,0.091,0.355,0.091,0.1,0.082,0.11,0.114,0.08,0.071,0.193,0.051,0.194,0.051
0.075,0.2,0.071,0.141,0.074,0.13,0.092,0.111,0.091,0.274,0.081,0.11,0.075,0.13,0.101,0.11,0.072,0.154,0.061,0.181,0.051
0.074,0.09,0.081,0.11,0.071,0.124,0.101,0.11,0.081,0.274,0.102,0.07,0.081,0.12,0.084,0.1,0.061,0.181,0.051,0.225,0.061
0.112,0.12,0.071,0.154,0.071,0.08,0.081,0.12,0.082,0.344,0.091,0.164,0.061,0.1,0.111,0.101,0.061,0.174,0.061,0.251,0.065
0.072,0.15,0.091,0.141,0.064,0.12,0.081,0.707,0.065,0.291,0.112,0.113,0.091,0.11,0.101,0.07,0.081,0.176,0.071,0.316,0.071
0.121,0.093,0.091,0.1,0.082,0.1,0.104,0.628,0.071,0.314,0.092,0.13,0.092,0.07,0.115,0.06,0.06,0.171,0.051,0.224,0.051
0.114,0.181,0.081,0.16,0.065,0.14,0.091,0.131,0.092,0.435,0.081,0.124,0.081,0.08,0.101,0.1,0.055,0.16,0.071,0.181,0.072
0.081,0.07,0.071,0.09,0.091,0.053,0.101,0.12,0.082,0.264,0.091,0.05,0.081,0.1,0.105,0.02,0.061,0.191,0.082,0.235,0.061
0.102,0.14,0.074,0.141,0.071,0.12,0.091,0.154,0.091,0.291,0.095,0.07,0.091,0.08,0.101,0.083,0.081,0.181,0.061,0.264,0.071
0.103,0.141,0.081,0.12,0.071,0.05,0.104,0.111,0.091,0.274,0.101,0.111,0.071,0.11,0.105,0.05,0.071,1.493,0.071,0.07,0.091
0.121,0.111,0.084,0.14,0.071,0.181,0.115,0.312,0.082,0.335,0.111,0.12,0.105,0.09,0.101,0.07,0.071,0.184,0.071,0.211,0.061
0.122,0.14,0.081,0.124,0.071,0.131,0.092,0.12,0.064,0.302,0.081,0.194,0.071,0.13,0.091,0.114,0.071,0.18,0.061,0.244,0.072
0.112,0.144,0.082,0.14,0.071,0.11,0.105,0.11,0.081,0.304,0.102,0.171,0.072,0.133,0.111,0.1,0.061,0.181,0.064,0.191,0.061
0.122,0.13,0.074,0.16,0.082,0.12,0.084,0.12,0.092,0.649,0.101,0.932,0.081,0.053,0.111,0.04,0.091,0.15,0.082,0.143,0.071
0.061,0.093,0.081,0.13,0.072,0.1,0.104,0.1,0.091,0.335,0.102,0.1,0.091,0.091,0.095,0.079,0.071,0.171,0.071,0.163,0.041
0.101,0.1,0.081,0.155,0.081,0.09,0.091,0.112,0.08,0.294,0.103,0.154,0.071,0.1,0.111,0.08,0.072,0.183,0.071,0.211,0.051
0.126,0.08,0.091,0.14,0.072,0.143,0.081,0.12,0.082,0.294,0.132,0.1,0.071,0.113,0.091,0.11,0.071,0.184,0.071,0.191,0.072
0.115,0.059,0.092,0.12,0.061,0.143,0.092,0.12,0.071,0.598,0.104,0.11,0.081,0.06,0.091,0.141,0.064,0.16,0.082,0.19,0.065
0.092,0.395,0.091,0.121,0.085,0.089,0.102,0.13,0.091,0.275,0.101,0.11,0.084,0.122,0.091,0.09,0.071,0.165,0.062,0.19,0.071
0.081,0.161,0.081,0.163,0.083,0.12,0.091,0.13,0.095,0.422,0.105,0.09,0.092,0.161,0.09,0.063,0.081,0.171,0.061,0.184,0.071
0.122,0.123,0.091,0.12,0.062,0.184,0.082,0.11,0.092,0.435,0.091,0.141,0.074,0.13,0.081,0.09,0.072,0.183,0.071,0.232,0.051
0.101,0.276,0.081,0.12,0.081,0.204,0.111,0.141,0.101,0.305,0.101,0.09,0.081,0.133,0.102,0.08,0.071,0.17,0.065,0.271,0.071
0.092,0.093,0.081,0.12,0.061,0.194,0.061,0.12,0.111,0.346,0.122,0.12,0.091,0.103,0.102,0.1,0.071,0.204,0.061,0.232,0.051
0.122,0.14,0.091,0.133,0.082,0.14,0.091,0.526,0.082,0.275,0.091,0.101,0.081,0.104,0.131,0.07,0.061,0.193,0.071,0.323,0.062
0.101,0.133,0.082,0.13,0.071,0.151,0.074,0.467,0.081,0.291,0.101,0.113,0.082,0.11,0.101,0.1,0.084,0.221,0.071,0.255,0.061
0.092,0.1,0.092,0.103,0.071,0.15,0.092,0.456,0.081,0.274,0.092,0.12,0.071,0.113,0.102,0.1,0.061,0.181,0.075,0.221,0.071
0.092,0.09,0.081,0.134,0.061,0.1,0.082,0.264,0.081,0.332,0.144,0.121,0.081,0.102,0.111,0.063,0.071,0.181,0.061,0.194,0.071
0.112,0.093,0.101,0.09,0.081,0.122,0.094,0.11,0.091,0.265,0.101,0.11,0.071,0.09,0.112,0.062,0.072,0.16,0.081,0.204,0.061
0.111,0.111,0.085,0.12,0.081,0.091,0.092,0.103,0.091,0.375,0.111,0.11,0.072,0.101,0.104,0.07,0.071,0.181,0.061,0.304,0.081
0.136,0.171,0.092,0.121,0.084,0.13,0.081,0.13,0.106,0.363,0.111,0.123,0.082,0.09,0.111,0.113,0.071,0.181,0.071,0.215,0.071
0.112,0.173,0.092,0.13,0.071,0.133,0.102,0.13,0.101,0.345,0.112,0.15,0.074,0.13,0.082,0.12,0.071,0.175,0.061,0.18,0.061
0.102,0.19,0.092,0.163,0.092,0.099,0.092,0.184,0.122,0.301,0.136,0.13,0.072,0.12,0.104,0.1,0.072,0.17,0.081,0.174,0.071
0.112,0.08,0.091,0.101,0.074,0.11,0.091,0.121,0.111,0.335,0.132,0.113,0.081,0.111,0.111,0.09,0.072,0.173,0.061,0.242,0.064
0.112,0.083,0.081,0.13,0.071,0.1,0.082,0.113,0.091,0.322,0.114,0.11,0.081,0.111,0.114,0.12,0.061,0.172,0.071,0.184,0.071
0.102,0.1,0.081,0.1,0.085,0.1,0.082,0.13,0.071,0.355,0.111,0.11,0.085,0.14,0.091,0.131,0.095,0.231,0.051,0.201,0.065
0.081,0.214,0.081,0.15,0.092,0.093,0.091,0.14,0.092,0.294,0.101,0.092,0.071,0.103,0.101,0.09,0.081,0.141,0.064,0.18,0.061
0.102,0.089,0.072,0.12,0.071,0.113,0.071,0.121,0.081,0.355,0.101,0.111,0.074,0.1,0.102,0.12,0.071,0.174,0.061,0.18,0.071
0.071,0.111,0.084,0.08,0.071,0.12,0.081,0.123,0.082,0.353,0.105,0.15,0.082,0.13,0.104,0.12,0.082,0.22,0.065,0.231,0.061
0.101,0.171,0.081,0.123,0.081,0.101,0.091,0.204,0.111,0.332,0.115,0.08,0.091,0.09,0.122,0.063,0.071,0.17,0.062,0.193,0.061
0.121,0.101,0.094,0.11,0.091,0.06,0.091,0.113,0.092,0.331,0.125,0.12,0.091,0.122,0.101,0.083,0.091,0.171,0.082,0.356,0.172
0.112,0.1,0.081,0.08,0.081,0.112,0.092,0.406,0.111,0.599,0.091,0.07,0.071,0.043,0.111,0.11,0.071,0.161,0.084,0.221,0.051
0.091,0.342,0.104,0.06,0.091,0.07,0.091,0.284,0.112,0.376,0.091,0.14,0.092,0.083,0.111,0.03,0.071,0.14,0.072,0.153,0.061
0.112,0.1,0.095,0.08,0.071,0.08,0.101,0.144,0.101,0.322,0.105,0.12,0.091,0.06,0.112,0.029,0.085,0.161,0.071,0.192,0.074
0.111,0.07,0.091,0.143,0.072,0.09,0.091,0.111,0.111,0.324,0.112,0.124,0.101,0.06,0.121,0.03,0.081,0.164,0.071,0.19,0.072
