Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,C,Gamma,k,max_depth,max_leaf_nodes,min_sample_leaf,min_sample_split,smoothing,test_score,training_score,version,priority
2023-08-06 23:06:42,5.3s,aaf3c4a621ae4fe58a10b73a29ab040b,"CHILD C = 1, GAMMA =0.1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,1,0.1,,,,,,,0.93125,0.92484375,,
2023-08-06 23:06:38,4.4s,15949837f9a947da9c3cdb7169a3e771,"CHILD C = 1, GAMMA =0.01",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,1,0.01,,,,,,,0.905625,0.9082812500000002,,
2023-08-06 23:06:18,19.3s,07e14b93d29147af8ae9c99ec916d6f0,"CHILD C = 0.1, GAMMA =5",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.1,5,,,,,,,0.074375,0.07375000000000001,,
2023-08-06 23:06:00,18.5s,25a9783c77ca45a481c333a492571a57,"CHILD C = 0.1, GAMMA =1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.1,1,,,,,,,0.303125,0.29578125,,
2023-08-06 23:05:52,8.0s,621a2ea55bbb4307a06cad7e900b87c1,"CHILD C = 0.1, GAMMA =0.1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.1,0.1,,,,,,,0.868125,0.8579687500000001,,
2023-08-06 23:05:42,9.8s,0f0a4e3c6339465998cc55098bdbc2bd,"CHILD C = 0.1, GAMMA =0.01",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.1,0.01,,,,,,,0.86125,0.8559374999999999,,
2023-08-06 23:05:23,19.4s,5ec168bc716f46da80dad14055800cb4,"CHILD C = 0.01, GAMMA =5",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.01,5,,,,,,,0.074375,0.07375000000000001,,
2023-08-06 23:05:04,18.6s,fa3185d0a82040658ca2b66ae7e2d99e,"CHILD C = 0.01, GAMMA =1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.01,1,,,,,,,0.25375,0.25359375,,
2023-08-06 23:04:46,17.7s,0c7c28f1701e4ece8545b5a9bac08b05,"CHILD C = 0.01, GAMMA =0.1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.01,0.1,,,,,,,0.80375,0.7903125,,
2023-08-06 23:04:28,18.4s,1ef8ee2ad90a45a89a43a27fe8054804,"CHILD C = 0.01, GAMMA =0.01",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.01,0.01,,,,,,,0.72125,0.7264062499999999,,
2023-08-06 23:04:08,19.4s,7155fe0fc76c4293a46746311db49c3b,"CHILD C = 0.001, GAMMA =5",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.001,5,,,,,,,0.074375,0.07375000000000001,,
2023-08-06 23:03:50,18.5s,c09de508f57f48e2981c4bea560656de,"CHILD C = 0.001, GAMMA =1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.001,1,,,,,,,0.25375,0.25359375,,
2023-08-06 23:03:31,18.9s,9effd745035c4bdf931dffe86e311b6c,"CHILD C = 0.001, GAMMA =0.1",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.001,0.1,,,,,,,0.803125,0.79078125,,
2023-08-06 23:03:12,18.8s,fd54b51fcc6b4dfbb630a232f7bf50dd,"CHILD C = 0.001, GAMMA =0.01",LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.001,0.01,,,,,,,0.72125,0.7264062499999999,,
2023-08-06 23:03:12,6.0min,5842b777fc034ba4a7999eca77ec7ca3,SUPPORT VECTOR MACHINE,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,,,,v1,P1
2023-08-06 23:02:40,32.0s,09f003d04f72431f9119c6d73f67aee0,CHILD regularization strength = 1000,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,1000,,,,,,,,0.89125,0.88640625,,
2023-08-06 23:02:19,21.4s,c04e8813cf754579b8e146f958d2139a,CHILD regularization strength = 100,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,100,,,,,,,,0.8925,0.8865624999999999,,
2023-08-06 23:02:08,11.0s,9dd156b9291f4de49312101337e568ef,CHILD regularization strength = 10,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,10,,,,,,,,0.89375,0.8892187500000001,,
2023-08-06 23:02:02,5.9s,941799be0341498f96016d81bde0b55e,CHILD regularization strength = 1,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,1,,,,,,,,0.9,0.89234375,,
2023-08-06 23:01:59,3.0s,8d892f6b131846c09ba9e68e476257ff,CHILD regularization strength = 0.1,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.1,,,,,,,,0.891875,0.8914062500000002,,
2023-08-06 23:01:57,1.8s,d7d0190d5bdd4531b2f28493a0988dba,CHILD regularization strength = 0.01,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.01,,,,,,,,0.88125,0.8779687500000002,,
2023-08-06 23:01:56,0.9s,9a1821d6014c4e60931ee7cdc3839d82,CHILD regularization strength = 0.001,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,0.001,,,,,,,,0.8275,0.8139062499999999,,
2023-08-06 23:01:56,1.3min,c6b1b1aef92143a6a4b789132cfb2030,LOGISTIC REGRESSION,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,,,,v1,P1
2023-08-06 23:01:28,93ms,52d79bded9f24f0ba7620b6b209212fc,CHILD smoothing_var = 1e-06,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,1e-06,0.826875,0.8162499999999999,,
2023-08-06 23:01:28,96ms,e17f781328f54c8c8b64a3389fae5339,CHILD smoothing_var = 1e-07,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,1e-07,0.826875,0.8162499999999999,,
2023-08-06 23:01:28,95ms,dc8bbb76fac342e4823aed1db0edb2f1,CHILD smoothing_var = 1e-08,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,1e-08,0.826875,0.8162499999999999,,
2023-08-06 23:01:28,95ms,0331ae1e48364bce9fb0db0898437b0a,CHILD smoothing_var = 1e-09,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,1e-09,0.826875,0.8162499999999999,,
2023-08-06 23:01:27,97ms,87f7a0b39bcf428c958e04893a1355ab,CHILD smoothing_var = 1e-10,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,1e-10,0.826875,0.8162499999999999,,
2023-08-06 23:01:27,489ms,7607481686264bdba3f3d9345a513061,NAIVE BAYES,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,,,,,,,,,v1,P1
2023-08-06 23:01:24,252ms,81027b42d9f94695ab930531e5e6493b,CHILD K = 16,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,16,,,,,,0.891875,0.8904687499999999,,
2023-08-06 23:01:23,262ms,4d651ec519f24b64b59c2fee28ef4bc6,CHILD K = 15,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,15,,,,,,0.890625,0.8907812500000001,,
2023-08-06 23:01:23,296ms,774356e479734f28b8c1cac35bc203ac,CHILD K = 14,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,14,,,,,,0.889375,0.8920312499999999,,
2023-08-06 23:01:23,252ms,188f210fd43641d2a24a49f4ffe01ae1,CHILD K = 13,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,13,,,,,,0.895,0.89125,,
2023-08-06 23:01:22,310ms,07acbc003aa74689837c7d378a0ce7a7,CHILD K = 12,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,12,,,,,,0.895,0.8918750000000001,,
2023-08-06 23:01:22,250ms,458f655c287a407b8f1d0cb1d7e72c53,CHILD K = 11,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,11,,,,,,0.900625,0.8920312499999999,,
2023-08-06 23:01:22,245ms,c146d2d097f542c0bb2a9734ef9ddaca,CHILD K = 10,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,10,,,,,,0.89625,0.89140625,,
2023-08-06 23:01:22,267ms,5790818d62b94ec6bf09802b549e443b,CHILD K = 9,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,9,,,,,,0.898125,0.89234375,,
2023-08-06 23:01:21,251ms,38ddf1ea5be745f7ac10a70b2c2fbe4f,CHILD K = 8,LOCAL,/home/sokonana/.local/lib/python3.10/site-packages/ipykernel_launcher.py,sokonana,FINISHED,,,8,,,,,,0.8975,0.8967187500000001,,
